RunID,RunDateTime,InstantiationType,Strategy,ObjectCount,Repetition,FrameCount,AvgFrameTimeMs,MaxFrameTimeMs,MinFrameTimeMs,StdDevFrameTimeMs,GCAllocBytes
1,2026-05-31 22:23:14,WALL,Custom Pooling Instantiation Strategy,20000,2,98,18.78633,272.0348,6.056796,26.16364,6818892
1,2026-05-31 22:23:14,WALL,Custom Pooling Instantiation Strategy,20000,3,98,18.379,263.029,5.636402,25.326,6773976
1,2026-05-31 22:23:14,WALL,Custom Pooling Instantiation Strategy,20000,4,98,18.50033,262.3535,6.301403,25.24316,6745858
1,2026-05-31 22:23:14,WALL,Custom Pooling Instantiation Strategy,20000,5,98,18.53927,263.376,6.570699,25.33873,6799168
1,2026-05-31 22:23:14,WALL,Custom Pooling Instantiation Strategy,20000,6,98,18.54763,261.8542,5.967701,25.18693,6774124
1,2026-05-31 22:23:14,WALL,Custom Pooling Instantiation Strategy,20000,7,98,18.48857,265.4251,6.0169,25.54074,6801548
1,2026-05-31 22:23:14,WALL,Custom Pooling Instantiation Strategy,20000,8,98,18.45567,260.533,6.040597,25.0619,6773886
1,2026-05-31 22:23:14,WALL,Custom Pooling Instantiation Strategy,20000,9,98,18.47751,262.2156,6.222406,25.23621,6742350
1,2026-05-31 22:23:14,WALL,Custom Pooling Instantiation Strategy,20000,10,98,18.86698,264.9522,6.560601,25.42837,6811929
1,2026-05-31 22:23:14,WALL,Lean Pool Instantiation Strategy,20000,1,98,21.80043,343.0411,8.612499,32.938,13329909
1,2026-05-31 22:23:14,WALL,Lean Pool Instantiation Strategy,20000,2,98,21.87543,371.2373,9.141298,35.73706,7374505
1,2026-05-31 22:23:14,WALL,Lean Pool Instantiation Strategy,20000,3,98,22.21687,368.2144,9.020996,35.40489,7327749
1,2026-05-31 22:23:14,WALL,Lean Pool Instantiation Strategy,20000,4,98,22.76339,395.6654,9.639498,38.11382,7364666
1,2026-05-31 22:23:14,WALL,Lean Pool Instantiation Strategy,20000,5,98,22.72187,397.025,9.910105,38.24134,7333642
1,2026-05-31 22:23:14,WALL,Lean Pool Instantiation Strategy,20000,6,98,22.56818,384.4051,9.902905,36.99083,7295302
1,2026-05-31 22:23:14,WALL,Lean Pool Instantiation Strategy,20000,7,98,23.00943,395.7816,10.1204,38.06632,7365705
1,2026-05-31 22:23:14,WALL,Lean Pool Instantiation Strategy,20000,8,98,22.63434,380.4792,9.631399,36.58199,7336769
1,2026-05-31 22:23:14,WALL,Lean Pool Instantiation Strategy,20000,9,98,22.82533,390.9037,9.726899,37.63359,7356658
1,2026-05-31 22:23:14,WALL,Lean Pool Instantiation Strategy,20000,10,98,22.79193,379.5841,9.668097,36.50825,7341178
1,2026-05-31 22:24:36,WALL,Simple Instantiation Strategy,5000,1,25,21.34711,229.8766,9.882895,42.59414,2764371
1,2026-05-31 22:24:36,WALL,Simple Instantiation Strategy,5000,2,25,21.5727,253.7061,8.342,47.42125,2368043
1,2026-05-31 22:24:36,WALL,Simple Instantiation Strategy,5000,3,25,21.84071,258.9813,8.014002,48.4456,2362547
1,2026-05-31 22:24:36,WALL,Simple Instantiation Strategy,5000,4,25,21.07101,243.097,7.930903,45.36322,2252147
1,2026-05-31 22:24:36,WALL,Simple Instantiation Strategy,5000,5,25,21.19204,246.5846,8.3518,46.04546,2275995
1,2026-05-31 22:24:36,WALL,Simple Instantiation Strategy,5000,6,25,20.74401,242.073,8.1687,45.2193,2258651
1,2026-05-31 22:24:36,WALL,Simple Instantiation Strategy,5000,7,25,20.53354,240.1928,8.198299,44.87217,2255655
1,2026-05-31 22:24:36,WALL,Simple Instantiation Strategy,5000,8,25,20.80911,242.2546,8.359602,45.24033,2362739
1,2026-05-31 22:24:36,WALL,Simple Instantiation Strategy,5000,9,25,21.01264,245.9924,8.005095,45.96948,2253059
1,2026-05-31 22:24:36,WALL,Simple Instantiation Strategy,5000,10,25,20.96828,243.9201,8.159404,45.55157,2252299
1,2026-05-31 22:24:36,WALL,Custom Pooling Instantiation Strategy,5000,1,25,23.54053,295.8681,9.596103,55.60392,2197448
1,2026-05-31 22:24:36,WALL,Custom Pooling Instantiation Strategy,5000,2,25,19.23174,242.1845,6.433298,45.58612,1719983
1,2026-05-31 22:24:36,WALL,Custom Pooling Instantiation Strategy,5000,3,25,18.50608,231.3943,6.515398,43.49555,1706631
